candidate_id,class_id,source_group,scale_bin,contrast_bin,morphology_bin,weakness_match_count,category,localization_category,confidence_view_gap,iou_view_gap,yolo_median_iou,yolo_median_conf_percentile,yolo_success_rate,frcnn_median_iou,frcnn_median_conf_percentile,frcnn_success_rate
dwbg_0_12011_10_000255,0,additional,tiny,medium,compact,1,CONSENSUS_HARD,LOCALIZATION_CONSENSUS_HARD,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
dwbg_0_12011_18_000263,0,additional,medium,low,elongated,2,CONSENSUS_HARD,FRCNN_LOCALIZATION_SPECIFIC,0.06105990783410138,0.6104269412832328,0.6104269412832328,0.03571428571428571,0.0,0.0,0.0967741935483871,0.0
dwbg_0_12011_67_000301,0,additional,tiny,high,elongated,2,CONSENSUS_HARD,FRCNN_LOCALIZATION_SPECIFIC,0.03571428571428571,0.5087488503120212,0.5087488503120212,0.03571428571428571,0.0,0.0,0.0,0.0
dwbg_0_15683_10_000338,0,additional,tiny,low,compact,2,CONSENSUS_HARD,LOCALIZATION_CONSENSUS_EASY,0.0332512315270936,0.04038002727933032,0.7219153276859668,0.03571428571428571,0.0,0.6815353004066365,0.06896551724137931,0.3333333333333333
dwbg_0_15683_13_000340,0,additional,tiny,medium,elongated,2,CONSENSUS_HARD,LOCALIZATION_CONSENSUS_HARD,0.0022246941045606233,0.0,0.0,0.034482758620689655,0.0,0.0,0.03225806451612903,0.0
dwbg_0_15683_43_000363,0,additional,tiny,low,elongated,3,CONSENSUS_HARD,FRCNN_LOCALIZATION_SPECIFIC,0.03571428571428571,0.6309488069890444,0.6309488069890444,0.03571428571428571,0.0,0.0,0.07142857142857142,0.3333333333333333
dwbg_0_15683_54_000373,0,additional,medium,low,medium,1,CONSENSUS_HARD,FRCNN_LOCALIZATION_SPECIFIC,0.03571428571428571,0.6058187999704187,0.6058187999704187,0.03571428571428571,0.0,0.0,0.07142857142857142,0.3333333333333333
dwbg_0_15683_55_000374,0,additional,tiny,medium,elongated,2,CONSENSUS_HARD,LOCALIZATION_CONSENSUS_HARD,0.11059907834101382,0.0,0.0,0.14285714285714285,0.0,0.0,0.03225806451612903,0.0
dwbg_0_19997_10_000003_c22022,0,additional,large,low,medium,1,CONSENSUS_HARD,LOCALIZATION_CONSENSUS_HARD,0.30418719211822665,0.12390987294114125,0.3753211969794337,0.4827586206896552,0.0,0.499231069920575,0.17857142857142858,0.3333333333333333
dwbg_0_19997_12_000008_c23023,0,additional,large,low,compact,1,CONSENSUS_HARD,FRCNN_LOCALIZATION_SPECIFIC,0.14285714285714285,0.5188274200033617,0.5188274200033617,0.03571428571428571,0.0,0.0,0.17857142857142858,0.0
