pair_id,raw_image_path,raw_annotation_path,raw_class_name,raw_bbox,converted_image_path,converted_class_id,converted_bbox
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,open,211 252 251 287,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/open/00041030_00_open.jpg,0,211 239 251 274
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,short,327 194 360 245,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/short/00041030_01_short.jpg,1,240 194 273 245
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,mousebite,172 59 207 89,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/mousebite/00041030_02_mousebite.jpg,2,172 59 207 89
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,mousebite,104 212 139 237,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/mousebite/00041030_03_mousebite.jpg,2,104 212 139 237
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,spur,57 110 85 145,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/spur/00041030_04_spur.jpg,3,57 110 85 145
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,pinhole,54 151 79 183,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/pinhole/00041030_05_pinhole.jpg,5,54 151 79 183
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,spurious_copper,210 123 249 157,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/spurious_copper/00041030_06_spurious_copper.jpg,4,210 123 249 157
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,spur,188 371 220 399,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/spur/00041030_07_spur.jpg,3,188 243 220 271
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,spurious_copper,508 378 544 430,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/spurious_copper/00041030_08_spurious_copper.jpg,4,380 250 416 302
00041030,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041/00041030_test.jpg,/mnt/sda/cbj/dataset/DeepPCB-master/PCBData/group00041/00041_not/00041030.txt,pinhole,400 412 434 446,/mnt/sda/cbj/dataset/DeepPCB_stage1_lowdata_s20260917/DeepPCB/test/pinhole/00041030_09_pinhole.jpg,5,272 284 306 318
