instance_id,image,gt_index,fold,class,yolo_iou,yolo_conf,yolo_status,frcnn_iou,frcnn_conf,frcnn_status
fold0:blackinst_1:0,blackinst_1.jpg,0,0,1,0.9202269733726969,0.4211454689502716,success,0.0,0.0,localization_failure
fold0:blackinst_11:0,blackinst_11.jpg,0,0,1,0.8957597944670626,0.7633333802223206,success,0.0,0.0,localization_failure
fold0:blackinst_11:1,blackinst_11.jpg,1,0,1,0.8247256806959206,0.751481831073761,success,0.0,0.0,localization_failure
fold0:blackinst_12:0,blackinst_12.jpg,0,0,1,0.6072521789165507,0.6971949934959412,success,0.0,0.0,localization_failure
fold0:blackinst_12:1,blackinst_12.jpg,1,0,1,0.9140498648169455,0.5187967419624329,success,0.0,0.0,localization_failure
fold0:blackinst_19:0,blackinst_19.jpg,0,0,1,0.8011172617334751,0.6907179951667786,success,0.0,0.0,localization_failure
fold0:blackinst_19:1,blackinst_19.jpg,1,0,1,0.8487493140298074,0.6650431156158447,success,0.0,0.0,localization_failure
fold0:blackinst_20:0,blackinst_20.jpg,0,0,1,0.8008507344456091,0.5974936485290527,success,0.0,0.0,localization_failure
fold0:blackinst_22:0,blackinst_22.jpg,0,0,1,0.9408686230643621,0.6470136046409607,success,0.0,0.0,localization_failure
fold0:blackinst_22:1,blackinst_22.jpg,1,0,1,0.6857374523852369,0.7391645312309265,success,0.0,0.0,localization_failure
fold0:blackinst_26:0,blackinst_26.jpg,0,0,1,0.8651941888716472,0.6977840662002563,success,0.0,0.0,localization_failure
fold0:blackinst_26:1,blackinst_26.jpg,1,0,1,0.9362945240338479,0.698775053024292,success,0.0,0.0,localization_failure
fold0:blackinst_26:2,blackinst_26.jpg,2,0,1,0.86684221529325,0.6979554295539856,success,0.0,0.0,localization_failure
fold0:blackinst_27:0,blackinst_27.jpg,0,0,1,0.9026449133248124,0.5803158283233643,success,0.0,0.0,localization_failure
fold0:blackinst_32:0,blackinst_32.jpg,0,0,1,0.5676014673175754,0.7112200260162354,success,0.0,0.0,localization_failure
fold0:blackinst_32:1,blackinst_32.jpg,1,0,1,0.8624517486607541,0.5855490565299988,success,0.0,0.0,localization_failure
fold0:blackinst_9:0,blackinst_9.jpg,0,0,1,0.8146719675082034,0.558797299861908,success,0.0,0.0,localization_failure
fold0:blackinst_9:1,blackinst_9.jpg,1,0,1,0.6864880790201394,0.5576514601707458,success,0.0,0.0,localization_failure
fold0:img_1013_pre_part_1:0,img_1013_pre_part_1.jpg,0,0,1,0.0,0.2596376836299896,localization_failure,0.0,0.0,localization_failure
fold0:img_1099_pre_part_1:0,img_1099_pre_part_1.jpg,0,0,0,0.8200394874316723,0.5799989700317383,success,0.0,0.0,localization_failure
fold0:img_11478_pre_part_1:0,img_11478_pre_part_1.jpg,0,0,0,0.6669597544446721,0.5107536911964417,success,0.0,0.0,localization_failure
fold0:img_1333_pre_part_1:0,img_1333_pre_part_1.jpg,0,0,0,0.8844302275149333,0.6517090797424316,success,0.0,0.0,localization_failure
fold0:img_13734_pre_part_1:0,img_13734_pre_part_1.jpg,0,0,0,0.8681934477630042,0.118224136531353,localized_low_conf,0.0,0.0,localization_failure
fold0:img_15034_pre_part_1:0,img_15034_pre_part_1.jpg,0,0,0,0.9236770380747524,0.026886258274316788,localized_low_conf,0.0,0.0,localization_failure
fold0:img_15545_pre_part_1:0,img_15545_pre_part_1.jpg,0,0,0,0.7140090900373304,0.009607705287635326,localized_low_conf,0.0,0.0,localization_failure
fold0:img_1572_pre_part_1:0,img_1572_pre_part_1.jpg,0,0,0,0.0,0.0011850404553115368,localization_failure,0.0,0.0,localization_failure
fold0:img_15996_pre_part_1:0,img_15996_pre_part_1.jpg,0,0,0,0.769338548243099,0.6167489886283875,success,0.0,0.0,localization_failure
fold0:img_16161_pre_part_1:0,img_16161_pre_part_1.jpg,0,0,1,0.7573530327051802,0.5809254050254822,success,0.0,0.0,localization_failure
fold0:img_16442_pre_part_1:0,img_16442_pre_part_1.jpg,0,0,0,0.935321841220476,0.24814079701900482,localized_low_conf,0.0,0.0,localization_failure
fold0:img_1797_pre_part_0:0,img_1797_pre_part_0.jpg,0,0,0,0.6748129030790038,0.46341219544410706,success,0.0,0.0,localization_failure
